employee_id,gender,ethnicity,age,disability_status,lgbtq_status,minority_status,veteran_status,division,manager,hire_year,performance_rating,salary,attrition
1,Transgender,White,29,,,,,IT,No,2022,3.02,20692.65,True
2,Male,White,59,,,,,Marketing,No,2023,1.59,57153.44,False
3,Female,White,43,,,,,Finance,No,2020,3.17,47841.33,False
4,Male,White,44,,,,,HR,No,2022,4.23,70235.18,False
5,Male,Asian,50,,,,,RD,No,2022,3.93,102857.27,False
6,Male,Black,37,,,,,Sales,No,2023,3.84,67884.74,False
7,Male,White,34,,,,,Marketing,No,2020,3.28,106039.4,False
8,Male,White,27,,,,,Sales,No,2020,2.48,73531.55,False
9,Male,Black,52,,,,,Finance,No,2022,3.91,49996.54,False
10,Male,Black,47,,,,,Sales,No,2021,2.83,63196.87,False
11,Male,White,54,,,,,Sales,No,2022,5.0,91709.58,False
12,Female,Middle Eastern,35,,,,,RD,No,2022,3.96,85047.96,False
13,Prefer not to say,Black,54,,,,,Operations,No,2022,3.04,50732.95,False
14,Male,Middle Eastern,32,,,,,Operations,No,2022,3.01,68797.76,False
15,Male,White,29,,,,,Sales,No,2023,3.43,43561.0,False
16,Male,Middle Eastern,32,,,,,IT,No,2020,3.31,77370.03,False
17,Male,White,39,,,,,HR,No,2023,4.39,88300.32,False
18,Male,White,33,,,,,Operations,No,2023,3.65,65596.99,False
19,Non-binary/non-conforming,White,29,,,,,IT,No,2023,2.91,54989.24,False
20,Prefer not to say,White,34,,,,,HR,No,2022,5.0,70401.96,False
21,Male,White,29,,,,,Operations,No,2021,3.54,71261.89,False
22,Male,White,40,,,,,IT,No,2020,4.12,66217.16,True
23,Female,White,52,,,,,Sales,No,2021,3.01,62266.27,False
24,Male,White,43,,,,,IT,No,2023,3.79,62392.78,False
25,Prefer not to say,Black,26,,,,,Marketing,Yes,2023,3.75,71945.39,False
26,Male,White,30,,,,,Sales,No,2021,1.99,76043.41,False
27,Male,White,29,,,,,HR,No,2021,5.0,50253.45,True
28,Female,White,43,,,,,Sales,No,2021,4.53,45853.85,True
29,Male,White,36,,,,,Sales,No,2023,3.18,61184.38,False
30,Male,White,37,,,,,Finance,No,2023,2.62,76052.56,True
31,Male,White,34,,,,,Sales,No,2020,3.78,67220.86,False
32,Female,White,27,,,,,IT,No,2020,3.57,50924.52,False
33,Male,White,35,,,,,Sales,No,2023,3.78,68922.78,False
34,Male,White,26,,,,,IT,No,2021,3.65,60037.84,False
35,Female,Middle Eastern,28,,,,,Finance,Yes,2021,3.9,71950.71,False
36,Male,White,35,,,,,IT,No,2020,4.66,69995.88,False
37,Transgender,Other,37,,,,,IT,No,2023,3.95,60270.83,False
38,Male,White,49,,,,,Marketing,No,2020,2.66,68472.78,False
39,Male,White,30,,,,,Marketing,No,2020,4.59,84725.72,False
40,Male,White,31,,,,,Marketing,No,2022,4.81,56455.55,False
41,Female,White,34,,,,,IT,No,2022,5.0,65356.67,False
42,Female,Asian,34,,,,,RD,No,2022,2.6,52944.88,False
43,Female,Asian,30,,,,,Finance,No,2021,3.69,59123.14,False
44,Male,White,30,,,,,Finance,No,2023,1.83,55181.53,True
45,Male,White,54,,,,,Marketing,No,2023,3.94,66655.03,True
46,Male,White,41,,,,,HR,No,2023,3.06,81617.35,False
47,Male,Asian,34,,,,,Sales,No,2023,5.0,45850.41,False
48,Male,Black,43,,,,,IT,No,2022,2.88,40553.03,False
49,Male,Black,45,,,,,Sales,No,2021,2.15,41065.35,False
50,Male,White,27,,,,,Marketing,No,2021,3.12,47440.06,False
51,Male,White,56,,,,,IT,No,2022,1.92,73929.85,False
52,Female,White,47,,,,,Finance,No,2021,4.1,40399.14,False
53,Female,White,42,,,,,Marketing,No,2022,1.85,55689.04,False
54,Male,Asian,40,,,,,Sales,No,2023,3.52,66846.91,False
55,Male,Asian,34,,,,,HR,No,2022,1.84,64124.9,False
56,Male,Asian,50,,,,,Operations,No,2023,3.24,53294.95,False
57,Male,Black,56,,,,,Sales,No,2023,4.81,61077.47,False
58,Male,White,30,,,,,Finance,No,2020,3.79,66607.18,False
59,Male,White,35,,,,,Marketing,No,2022,2.81,61636.39,False
60,Male,White,34,,,,,IT,No,2020,3.48,61837.48,False
61,Male,White,39,,,,,Sales,No,2022,3.51,98531.41,False
62,Female,White,25,,,,,Marketing,No,2022,3.88,70968.49,False
63,Female,Middle Eastern,58,,,,,Sales,No,2020,2.41,94032.98,False
64,Female,White,26,,,,,HR,No,2020,3.97,52941.91,True
65,Male,Asian,57,,,,,Finance,No,2022,1.34,57352.95,False
66,Female,White,36,,,,,IT,No,2021,3.0,41416.66,False
67,Prefer not to say,White,42,,,,,IT,No,2023,3.11,52856.5,True
68,Male,Latin,43,,,,,HR,No,2020,4.01,93528.7,True
69,Female,Prefer not to say,65,,,,,IT,No,2023,3.52,52595.93,False
70,Female,Latin,27,,,,,Operations,No,2021,2.38,86286.08,False
